"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","首页","检查解决方案跳转","0","0","5","0","0"
"","首页","导航栏","0","5","19","0","0"
"","首页","检查大标题","0","3","1","0","0"
"","开发者中心","检查oneos下载页面111","0","0","1","0","0"
"","首页","检查底部信息","0","4","0","0","0"
"","首页","产品功能跳转","0","0","3","0","0"
"","检查新闻页面","新闻详情","0","0","1","0","0"
"","开发者中心","检查开发文档页面","0","0","1","0","0"
"","检查关于oneos页面跳转","检查关于oneos页面跳转","0","0","1","0","0"
"","检查新闻页面","检查新闻列表页","0","0","1","0","0"
"","检查社区论坛跳转","检查社区论坛页面跳转","0","0","1","0","0"
"","ota介绍页检查","ota页面检查","0","0","1","0","0"
